Index,cano2_smiles,Receptor,Uniprot ID,Activity Type,Activity Relation,p-value (-log),ChEMBL ID,Activity Value
27629,C=CCn1cc2c(nc(NC(=O)Nc3ccc(OC)cc3)n3nc(-c4ccco4)nc23)n1,aa3r,P0DMS8,Kd,=,9.1,CHEMBL304726,0.8
27630,CC[C@@H]1CN2C(=O)N(C)c3nc(-c4ccccc4)[nH]c3C2=N1,aa3r,P0DMS8,Kd,=,8.3,CHEMBL1625681,4.9
27631,N=c1ccc2c(-c3ccc(C(=O)NCCCCCCn4cc(CCCC(=O)Nc5nc6ccc(Cl)cc6c6nc(-c7ccco7)nn56)nn4)cc3C(=O)O)c3ccc(N)c(S(=O)(=O)O)c3oc-2c1S(=O)(=O)O,aa3r,P0DMS8,Kd,=,8.3,CHEMBL2413248,5.2
27632,N=c1ccc2c(-c3ccc(C(=O)NCCCCCCn4cc(CCCC(=O)Nc5nc6ccc(Cl)cc6c6nc(-c7ccco7)nn56)nn4)cc3C(=O)O)c3ccc(N)c(S(=O)(=O)O)c3oc-2c1S(=O)(=O)O,aa3r,P0DMS8,Kd,=,8.2,CHEMBL2413248,6.7
27633,Cn1cc2c(nc(NC(=O)Nc3ccncc3)n3nc(-c4ccco4)nc23)n1,aa3r,P0DMS8,Ki,=,11.0,CHEMBL118923,0.0
27634,Cn1cc2c(nc(NC(=O)Nc3ccncc3)n3nc(-c4ccco4)nc23)n1,aa3r,P0DMS8,Ki,=,10.9,CHEMBL118923,0.0
27635,COc1ccc(C(=O)Nc2nc(-c3cccs3)nc3cn(-c4ccccc4)nc23)cc1,aa3r,P0DMS8,Ki,=,10.6,CHEMBL3754229,0.0
27636,CCO/C(O)=C1\C(C)=NC(c2ccccc2)=C(C(=O)OCc2ccccc2)C1C#Cc1ccccc1,aa3r,P0DMS8,Ki,=,10.5,CHEMBL89852,0.0
27637,Cn1cc2c(nc(NC(=O)Nc3ccncc3)n3nc(-c4ccco4)nc23)n1,aa3r,P0DMS8,Ki,=,10.4,CHEMBL118923,0.0
27638,Cn1cc2c(nc(NC(=O)Nc3ccncc3)n3nc(-c4ccco4)nc23)n1,aa3r,P0DMS8,Ki,=,10.3,CHEMBL118923,0.0
27639,CNC(=O)[C@H]1O[C@@H](n2cnc3c(NCc4cccc(I)c4)ncnc32)[C@H](O)[C@@H]1O,aa3r,P0DMS8,Ki,=,10.1,CHEMBL119709,0.1
27640,Cn1cc2c(nc(NC(=O)Cc3ccccc3)n3nc(-c4ccccc4)nc23)n1,aa3r,P0DMS8,Ki,=,10.0,CHEMBL1091268,0.1
27641,CCOC(=O)C1=C(c2ccccc2)Nc2cc(C)c(C(=O)OCC)cc2C1/C=C/c1ccccc1,aa3r,P0DMS8,Ki,=,10.0,CHEMBL340868,0.1
27642,COc1ccc(NC(=O)Nc2nc3ccc(Cl)cc3c3nc(-c4ccco4)nn23)cc1,aa3r,P0DMS8,Ki,=,9.9,CHEMBL144979,0.1
27643,COc1ccc(NC(=O)Nc2nc3n[nH]cc3c3nc(-c4ccco4)nn23)cc1,aa3r,P0DMS8,Ki,=,9.9,CHEMBL145767,0.1
27644,CCn1cc2c(nc(NC(=O)Nc3ccc(C)cc3)n3nc(-c4ccco4)nc23)n1,aa3r,P0DMS8,Ki,=,9.9,CHEMBL348975,0.1
27645,CCn1cc2c(n1)N=C(NC(=O)Nc1ccc(C)cc1)N1NC(c3ccco3)=NC21,aa3r,P0DMS8,Ki,=,9.9,CHEMBL209992,0.1
27646,CCCn1cc2c(nc(NC(=O)Nc3ccccc3)n3nc(-c4ccco4)nc23)n1,aa3r,P0DMS8,Ki,=,9.8,CHEMBL168018,0.2
27647,Cn1cc2c(nc(NC(=O)Nc3ccccc3)n3nc(-c4ccco4)nc23)n1,aa3r,P0DMS8,Ki,=,9.8,CHEMBL324735,0.2
27648,Cn1cc2c(nc(NC(=O)Nc3ccccc3)n3nc(-c4ccc(-c5ccco5)cc4)nc23)n1,aa3r,P0DMS8,Ki,=,9.8,CHEMBL1834703,0.2
27649,CCn1cc2c(nc(NC(=O)Nc3ccccc3)n3nc(-c4ccco4)nc23)n1,aa3r,P0DMS8,Ki,=,9.7,CHEMBL352796,0.2
27650,CCCCc1nc2[nH]cnc2c2nc(-c3ccc(OC)cc3)nn12,aa3r,P0DMS8,Ki,=,9.7,CHEMBL331111,0.2
27651,COc1ccc(C(=O)Nc2nc(-c3ccccc3)nc3nn(C)cc23)cc1,aa3r,P0DMS8,Ki,=,9.7,CHEMBL1098108,0.2
27652,N[C@H]1[C@@H](CO)O[C@@H](n2cnc3c(NC4CCCC4)ncnc32)[C@@H]1O,aa3r,P0DMS8,Ki,=,9.7,CHEMBL133591,0.2
27653,O=C(Nc1cccc(Cl)c1)Nc1nc2ccc(Cl)cc2c2nc(-c3ccco3)nn12,aa3r,P0DMS8,Ki,=,9.7,CHEMBL141550,0.2
