Index,cano2_smiles,Receptor,Uniprot ID,Activity Type,Activity Relation,p-value (-log),ChEMBL ID,Activity Value
46532,O=C(CCCN1[C@H]2CC[C@@H]1CC(O)(c1ccc(Cl)cc1)C2)c1ccc(F)cc1,drd2,P14416 ,Kd,=,10.3,CHEMBL4451384,0.1
46533,CN1CN(c2ccccc2)C2(CCN(CCCC(=O)c3ccc(F)cc3)CC2)C1=O,drd2,P14416 ,Kd,=,10.0,CHEMBL267932,0.1
46534,O=C(CCCN1CCC2(c3ccc(Cl)cc3)CC2C1)c1ccc(F)cc1,drd2,P14416 ,Kd,=,9.8,CHEMBL4528835,0.1
46535,O=C(CCCN1CCC(O)(c2ccc(Cl)c(Cl)c2)CC1)c1ccc(F)cc1,drd2,P14416 ,Kd,=,9.8,CHEMBL4544491,0.1
46536,O=C(CCCN1CCC(O)(c2cccc(Cl)c2Cl)CC1)c1ccc(F)cc1,drd2,P14416 ,Kd,=,9.8,CHEMBL4570273,0.1
46537,O=C(CCCN1CCC2(CC1)C(=O)NCN2c1ccccc1)c1ccc(F)cc1,drd2,P14416 ,Kd,=,9.8,CHEMBL267930,0.2
46538,CN1CCc2cc(F)cc3c2[C@H]1Cc1ccc(O)c(O)c1-3,drd2,P14416 ,Kd,=,9.4,CHEMBL18598,0.4
46539,O=C(CCCN1CCC(O)(c2ccc(C(F)(F)F)cc2)CC1)c1ccc(F)cc1,drd2,P14416 ,Kd,=,9.3,CHEMBL4436610,0.5
46540,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,drd2,P14416 ,Kd,=,9.3,CHEMBL54,0.5
46541,O=C(CCCN1CCC(O)(c2cc(Cl)cc(Cl)c2)CC1)c1ccc(F)cc1,drd2,P14416 ,Kd,=,9.3,CHEMBL4436241,0.5
46542,CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3,drd2,P14416 ,Kd,=,9.2,CHEMBL53,0.7
46543,OC1(c2ccc(Cl)cc2)CCN(CCCOc2ccc(F)cc2)CC1,drd2,P14416 ,Kd,=,9.1,CHEMBL1940404,0.8
46544,Cc1ccc(C2(O)CCN(CCCC(=O)c3ccc(F)cc3)CC2)cc1,drd2,P14416 ,Kd,=,9.0,CHEMBL2104700,1.0
46545,O=C(CCCN1CCC(O)(c2cccc(Cl)c2)CC1)c1ccc(F)cc1,drd2,P14416 ,Kd,=,9.0,CHEMBL4455788,1.0
46546,O=C(CCCN1CCC(O)(c2cc(Cl)ccc2Cl)CC1)c1ccc(F)cc1,drd2,P14416 ,Kd,=,9.0,CHEMBL4529368,1.0
46547,CN1CCc2cc(O)cc3c2[C@H]1Cc1ccc(O)c(O)c1-3,drd2,P14416 ,Kd,=,9.0,CHEMBL1257041,1.1
46548,OC1(c2ccc(Cl)cc2)CCN(CC[C@H]2C[C@@H]2c2ccc(F)cc2)CC1,drd2,P14416 ,Kd,=,8.8,CHEMBL4472382,1.5
46549,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccccc1,drd2,P14416 ,Kd,=,8.8,CHEMBL199226,1.8
46550,COC1(c2ccc(Cl)cc2)CCN(CCCC(=O)c2ccc(F)cc2)CC1,drd2,P14416 ,Kd,=,8.7,CHEMBL422334,1.9
46551,O=C(CCCN1CCC(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,drd2,P14416 ,Kd,=,8.7,CHEMBL147830,1.9
46552,OC1(c2ccc(Cl)cc2)CCN(CCCSc2ccc(F)cc2)CC1,drd2,P14416 ,Kd,=,8.7,CHEMBL1940403,2.0
46553,Cc1ccccc1C(=O)CCCN1CCC(O)(c2ccc(Cl)cc2)CC1,drd2,P14416 ,Kd,=,8.7,CHEMBL4475608,2.0
46554,O=C(CCCN1CC=C(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,drd2,P14416 ,Kd,=,8.0,CHEMBL3544895,10.0
46555,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccccc1F,drd2,P14416 ,Kd,=,8.0,CHEMBL4514517,10.2
46556,OC1(c2ccc(Cl)cc2)CCN(CC/C=C/c2ccc(F)cc2)CC1,drd2,P14416 ,Kd,=,7.9,CHEMBL4474020,11.5
46557,O=C(CCCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,drd2,P14416 ,Kd,=,7.9,CHEMBL4450047,12.9
46558,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1F,drd2,P14416 ,Kd,=,6.9,CHEMBL4468416,120.2
46559,CN1C[C@H](C(=O)N2CCN(c3ccc4nonc4c3)CC2)C[C@@H]2c3cccc4[nH]c(Br)c(c34)C[C@H]21,drd2,P14416 ,Kd,=,6.9,CHEMBL251835,125.9
46560,CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3,drd2,P14416 ,Kd,=,6.9,CHEMBL53,127.0
46561,CCCC[C@H](NC(=O)CCCCCNC(=O)[C@H]1CC[C@@H]2c3[nH]c4ccccc4c3CCN2C1)C(=O)N[C@@H](Cc1ccc(F)cc1)C(=O)N1C[C@@H](N)C[C@H]1C(N)=O,drd2,P14416 ,Kd,=,4.9,CHEMBL3423408,13000.0
46562,NCCCC[C@H](NC(=O)[C@H](Cc1ccc(F)c(F)c1)NC(=O)[C@H]1CCCN1C(=O)CCCCCNC(=O)[C@@H]1CC[C@H]2c3[nH]c4ccccc4c3CCN2C1)C(N)=O,drd2,P14416 ,Kd,=,4.9,CHEMBL3423411,14000.0
46563,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1cc(F)ccc1F,drd2,P14416 ,Kd,=,6.9,CHEMBL4482896,141.3
46564,O=C(CCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,drd2,P14416 ,Kd,=,6.8,CHEMBL94371,144.5
46565,CCCC[C@H](NC(=O)[C@H]1CC[C@@H]2c3[nH]c4ccccc4c3CCN2C1)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CCCCN)C(N)=O,drd2,P14416 ,Kd,=,4.8,CHEMBL3423406,16000.0
46566,CC(C)[C@H](NC(=O)[C@@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1)C(=O)N[C@@H](Cc1ccc(F)cc1)C(=O)N1CCC[C@H]1C(N)=O,drd2,P14416 ,Kd,=,4.8,CHEMBL388509,16000.0
46567,OC1(c2ccc(Cl)cc2)CCN(CCCC#Cc2ccc(F)cc2)CC1,drd2,P14416 ,Kd,=,7.8,CHEMBL4470321,17.8
46568,O=C(CCCN1CCC(O)(c2ccc(F)cc2)CC1)c1ccc(Cl)cc1,drd2,P14416 ,Kd,=,7.7,CHEMBL4556173,18.6
