Index,cano2_smiles,Receptor,Uniprot ID,Activity Type,Activity Relation,p-value (-log),ChEMBL ID,Activity Value
39224,Cc1c(OC2CCN(CC3CCN([C@@](C)(Cc4ccc(F)cc4)C(=O)O)CC3)CC2)ccc(Cl)c1Cl,ccr3,P51677,Ki,=,9.7,CHEMBL2158790,0.2
39225,Cc1c(Cl)ccc(OC2CCN(CC3CCN([C@@H](Cc4ccc(F)cc4)C(=O)O)CC3)CC2)c1Cl,ccr3,P51677,Ki,=,9.3,CHEMBL2158783,0.5
39226,Cc1c(OC2CCN(CC3CCN([C@@H](Cc4ccc(F)cc4)C(=O)O)CC3)CC2)ccc(Cl)c1Cl,ccr3,P51677,Ki,=,9.3,CHEMBL2158784,0.5
39227,Cc1cc(Cl)ccc1OC1CCN(CC2CCN([C@@](C)(Cc3ccc(F)cc3)C(=O)O)CC2)CC1,ccr3,P51677,Ki,=,9.2,CHEMBL2158791,0.6
39228,Cc1ccc(S(=O)(=O)NC(=O)N2CCC(N3CCC(Oc4ccc(Cl)c(C)c4Cl)CC3)CC2)cc1,ccr3,P51677,Ki,=,9.2,CHEMBL2171047,0.6
39229,C[C@](Cc1ccc(F)cc1)(C(=O)O)N1CCC(CN2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)CC1,ccr3,P51677,Ki,=,9.1,CHEMBL2158787,0.8
39230,Cc1c(OC2CCN(CC3CCN([C@@H](Cc4ccc(F)cc4)C(=O)O)CC3)CC2)ccc(C#N)c1Cl,ccr3,P51677,Ki,=,8.9,CHEMBL2158785,1.3
39231,Cc1cc(OC2CCN(CC3CCN([C@@](C)(Cc4ccc(F)cc4)C(=O)O)CC3)CC2)ccc1Cl,ccr3,P51677,Ki,=,8.9,CHEMBL2158792,1.3
39232,Cc1c(OC2CCN(CC3CCN([C@@](C)(Cc4ccccc4)C(=O)O)CC3)CC2)ccc(Cl)c1Cl,ccr3,P51677,Ki,=,8.8,CHEMBL2158789,1.6
39233,Cc1c(OC2CCN(CC3CCN([C@@H](Cc4ccccc4)C(=O)O)CC3)CC2)ccc(Cl)c1Cl,ccr3,P51677,Ki,=,8.7,CHEMBL2158788,2.0
39234,Cc1cc(F)ccc1OC1CCN(CC2CCN([C@@](C)(Cc3ccc(F)cc3)C(=O)O)CC2)CC1,ccr3,P51677,Ki,=,8.7,CHEMBL2158793,2.0
39235,O=C(O)c1ccccc1N1CCC(CN2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)CC1,ccr3,P51677,Ki,=,8.7,CHEMBL2158822,2.0
39236,O=C(O)[C@@H](c1ccccc1)N1CCC(CN2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)CC1,ccr3,P51677,Ki,=,8.0,CHEMBL2158821,10.0
39237,O=C(O)[C@H](Cc1ccccc1)N1CCC(CN2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)CC1,ccr3,P51677,Ki,=,8.0,CHEMBL2158835,10.0
39238,O=C(O)[C@H](Cc1ccccc1Cl)N1CCC(CN2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)CC1,ccr3,P51677,Ki,=,8.0,CHEMBL2158837,10.0
39239,O=C(O)[C@H](Cc1ccccc1F)N1CCC(CN2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)CC1,ccr3,P51677,Ki,=,8.0,CHEMBL2158839,10.0
39240,O=C(O)[C@H](Cc1ccc(F)cc1)N1CCC(CN2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)CC1,ccr3,P51677,Ki,=,8.0,CHEMBL2158841,10.0
39241,O=C(c1c[nH]c(=O)c2ccccc12)N1CCC(N2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)CC1,ccr3,P51677,Ki,=,8.0,CHEMBL2171020,10.0
39242,O=C(O)c1cccc(N2CCC(CN3CCC(Oc4ccc(Cl)c(Cl)c4)CC3)CC2)c1,ccr3,P51677,Ki,=,7.0,CHEMBL2158823,100.0
39243,O=C(O)COc1ccc(N2CCC(CN3CCC(Oc4ccc(Cl)c(Cl)c4)CC3)CC2)cc1,ccr3,P51677,Ki,=,7.0,CHEMBL2158830,100.0
39244,Cc1ccc(S(=O)(=O)N(C)C(=O)N2CCC(N3CCC(Oc4ccc(Cl)c(Cl)c4)CC3)CC2)cc1,ccr3,P51677,Ki,=,7.0,CHEMBL2171013,100.0
39245,COc1cccc(C(=O)NCCN2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)c1,ccr3,P51677,Ki,=,7.0,CHEMBL2171018,100.0
39246,N#Cc1cccc(S(=O)(=O)NC(=O)N2CCC(N3CCC(Oc4ccc(Cl)c(Cl)c4)CC3)CC2)c1,ccr3,P51677,Ki,=,7.0,CHEMBL2171044,100.0
39247,Cc1ccccc1NC(=O)N1CCC(N2CCC(Cc3ccc(Cl)c(Cl)c3)CC2)CC1,ccr3,P51677,Ki,=,7.0,CHEMBL181894,100.0
39248,Fc1ccc2c(c1)nc(CC(F)(F)F)n2C1CCNCC1,ccr3,P51677,Ki,=,7.0,CHEMBL2159765,100.0
39249,CS(=O)(=O)N[C@@H]1CN(C2CCN(C(=O)c3ccc4ncccc4c3)CC2)CC[C@@H]1Cc1ccc(Cl)c(Cl)c1,ccr3,P51677,Ki,=,6.0,CHEMBL361620,1002.0
39250,Cc1ccccc1CC(=O)N1CCC(N2CCC(Cc3cccc(Cl)c3Cl)CC2)CC1,ccr3,P51677,Ki,=,7.0,CHEMBL178286,103.0
39251,COc1ccc(C(CNC(=O)Nc2ccc(F)cc2)N2CCN(C3CCCCC3)CC2)cc1,ccr3,P51677,Ki,=,6.0,CHEMBL192162,1030.0
39252,CC(C)(C)c1ccc(C(CNC(=O)Cc2ccc(C(F)(F)F)cc2)N2CCN(C3CCCCC3)CC2)cc1,ccr3,P51677,Ki,=,5.0,CHEMBL194943,10300.0
39253,COc1ccc(C(CNCCc2ccccc2)N2CCN(C3CCCCC3)CC2)cc1,ccr3,P51677,Ki,=,6.0,CHEMBL372496,1040.0
39254,COc1ccc(NC(=O)NCC(c2ccccc2OC)N2CCN(C3CCCCC3)CC2)cc1,ccr3,P51677,Ki,=,5.0,CHEMBL193871,10500.0
39255,Cc1ccc(NC(=O)NCC(c2ccc(C(F)(F)F)cc2)N2CCN(C3CCCCC3)CC2)cc1,ccr3,P51677,Ki,=,6.0,CHEMBL192751,1070.0
39256,Cc1ccc(NC(=O)NCC(c2ccc(C(F)(F)F)cc2)N2CCN(C)CC2)cc1,ccr3,P51677,Ki,=,5.0,CHEMBL193732,10700.0
39257,CN(C)c1ccc(CCNCC(c2ccc(C(F)(F)F)cc2)N2CCN(C3CCCCC3)CC2)cc1,ccr3,P51677,Ki,=,6.0,CHEMBL193975,1080.0
39258,CCNC(=O)N[C@@H](CCN1CCC(c2c(CC)[nH]c3cc(F)ccc23)CC1)Cc1ccc(Cl)c(Cl)c1,ccr3,P51677,Ki,=,8.0,CHEMBL3355964,11.0
39259,CO[C@@H]1CN(C2CCN(C(=O)c3ccc4ncccc4c3)CC2)CC[C@@H]1Cc1ccc(Cl)c(Cl)c1,ccr3,P51677,Ki,=,8.0,CHEMBL178818,11.0
39260,Clc1ccccc1/C=C1\CCN2Cc3ccccc3N=C12,ccr3,P51677,Ki,=,7.0,CHEMBL369351,110.0
39261,Cc1ccccc1CC(=O)N1CCC(N2CCC(Cc3ccc(F)cc3)CC2)CC1,ccr3,P51677,Ki,=,7.0,CHEMBL178771,111.0
