Index,cano2_smiles,Receptor,Uniprot ID,Activity Type,Activity Relation,p-value (-log),ChEMBL ID,Activity Value
56553,Cc1nc2ncc(Oc3ccc(Br)cc3F)nc2c(=O)n1C[C@H]1CCCN(C(C)C)C1,ghsr,Q92847,Ki,=,10.3,CHEMBL1957010,0.1
56554,Cc1nc2cnc(Oc3ccc4ncsc4c3)cc2c(=O)n1C[C@H]1CCCN(C(C)C)C1,ghsr,Q92847,Ki,=,10.0,CHEMBL1957001,0.1
56555,CC[C@H](C)[C@@H]1NCCOc2ccccc2CCCNC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@@H](C)N(C)C1=O,ghsr,Q92847,Ki,=,10.0,CHEMBL1923609,0.1
56556,C[C@@H]1C(=O)N[C@H](Cc2ccccc2)C(=O)NCCCc2ccccc2OCCN[C@@H](C2CC2)C(=O)N1C,ghsr,Q92847,Ki,=,10.0,CHEMBL1923610,0.1
56557,C[C@@H]1C(=O)N[C@H](Cc2ccccc2F)C(=O)NCCCc2ccccc2OCCN[C@@H](C2CC2)C(=O)N1C,ghsr,Q92847,Ki,=,10.0,CHEMBL1923623,0.1
56558,C[C@@H]1C(=O)N[C@H](Cc2ccc(F)cc2)C(=O)NCCCc2ccccc2OCCN[C@@H](C2CC2)C(=O)N1C,ghsr,Q92847,Ki,=,10.0,CHEMBL1923625,0.1
56559,C[C@@H]1C(=O)N[C@H](Cc2ccc(C(F)(F)F)cc2)C(=O)NCCCc2ccccc2OCCN[C@@H](C2CC2)C(=O)N1C,ghsr,Q92847,Ki,=,10.0,CHEMBL1923626,0.1
56560,CC1COc2ccccc2CCCNC(=O)[C@@H](Cc2ccc(F)cc2)NC(=O)[C@@H](C)N(C)C(=O)[C@H](C2CC2)N1,ghsr,Q92847,Ki,=,10.0,CHEMBL1923637,0.1
56561,C[C@@H]1C(=O)N[C@H](Cc2ccc(F)cc2)C(=O)NCCCc2ccc(F)cc2OCCN[C@@H](C2CC2)C(=O)N1C,ghsr,Q92847,Ki,=,10.0,CHEMBL1923642,0.1
56562,CC[C@H](C)[C@@H]1NCCOc2ccccc2CCCNC(=O)[C@@H](Cc2ccc(OC)cc2)NC(=O)[C@@H](C)N(C)C1=O,ghsr,Q92847,Ki,=,10.0,CHEMBL3893048,0.1
56563,CC[C@H](C)[C@@H]1NCCOc2ccccc2CCCNC(=O)[C@@H](Cc2ccc(F)cc2)NC(=O)[C@@H](C)N(C)C1=O,ghsr,Q92847,Ki,=,10.0,CHEMBL3895776,0.1
56564,CC[C@H](C)[C@@H]1NCCOc2ccccc2CCCNC(=O)[C@@H](Cc2ccccc2Cl)NC(=O)[C@@H](C)N(C)C1=O,ghsr,Q92847,Ki,=,10.0,CHEMBL3898794,0.1
56565,C[C@@H]1C(=O)N[C@H](Cc2ccc(Cl)c(Cl)c2)C(=O)NCCCc2ccccc2OCCN[C@@H](C2CC2)C(=O)N1C,ghsr,Q92847,Ki,=,10.0,CHEMBL3903118,0.1
56566,C[C@@H]1C(=O)N[C@H](Cc2ccc(Cl)cc2Cl)C(=O)NCCCc2ccccc2OCCN[C@@H](C2CC2)C(=O)N1C,ghsr,Q92847,Ki,=,10.0,CHEMBL3905791,0.1
56567,CC[C@H](C)[C@@H]1NCCOc2ccccc2CCCNC(=O)[C@@H](Cc2ccc3ccccc3c2)NC(=O)[C@@H](C)N(C)C1=O,ghsr,Q92847,Ki,=,10.0,CHEMBL3907497,0.1
56568,CC[C@H](C)[C@@H]1NC[C@@H](C)Oc2ccccc2CCCNC(=O)[C@H](Cc2cccc(Cl)c2)NC(=O)C2(CCCC2)NC1=O,ghsr,Q92847,Ki,=,10.0,CHEMBL3907891,0.1
56569,CC[C@H](C)[C@@H]1NCCOc2ccccc2CCCNC(=O)[C@@H](Cc2cccc3ccccc23)NC(=O)[C@@H](C)N(C)C1=O,ghsr,Q92847,Ki,=,10.0,CHEMBL3910300,0.1
56570,CC[C@H](C)[C@@H]1NCCOc2ccccc2/C=C\CNC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@@H](C)N(C)C1=O,ghsr,Q92847,Ki,=,10.0,CHEMBL3913855,0.1
56571,CC[C@H](C)[C@@H]1NC[C@H](C)Oc2ccccc2CCCNC(=O)[C@H](Cc2cccc(Cl)c2)NC(=O)C2(CCCC2)NC1=O,ghsr,Q92847,Ki,=,10.0,CHEMBL3914259,0.1
56572,CC(C)C[C@@H]1NCCOc2ccccc2/C=C\CNC(=O)[C@H](Cc2ccccc2Cl)NC(=O)C2(CCCC2)NC1=O,ghsr,Q92847,Ki,=,10.0,CHEMBL3915269,0.1
56573,C[C@@H]1C(=O)N[C@H](Cc2ccc(Br)cc2)C(=O)NCCCc2ccccc2OCCN[C@@H](C2CC2)C(=O)N1C,ghsr,Q92847,Ki,=,10.0,CHEMBL3918009,0.1
56574,CC(C)C[C@@H]1NCCOc2ccccc2/C=C\CNC(=O)[C@H](Cc2cccc(Cl)c2)NC(=O)C2(CCCC2)NC1=O,ghsr,Q92847,Ki,=,10.0,CHEMBL3918046,0.1
56575,C[C@@H]1C(=O)N[C@H](Cc2ccc(Cl)cc2)C(=O)NCCCc2ccccc2OCCN[C@@H](C2CC2)C(=O)N1C,ghsr,Q92847,Ki,=,10.0,CHEMBL3920049,0.1
56576,CCC(C)[C@H]1NCCOc2ccccc2[C@H]2C[C@@H]2CNC(=O)[C@H](Cc2cccc(Cl)c2)NC(=O)C2(CCCC2)NC1=O,ghsr,Q92847,Ki,=,10.0,CHEMBL3922056,0.1
56577,C[C@@H]1C(=O)N[C@H](Cc2ccc(F)cc2)C(=O)NC/C=C/c2ccccc2OCCN[C@@H](C2CC2)C(=O)N1C,ghsr,Q92847,Ki,=,10.0,CHEMBL3929593,0.1
56578,C[C@@H]1C(=O)N[C@H](Cc2ccc(Cl)cc2)C(=O)NC/C=C\c2ccccc2OCCN[C@@H](C2CC2)C(=O)N1C,ghsr,Q92847,Ki,=,10.0,CHEMBL3934367,0.1
56579,CC[C@H](C)[C@@H]1NCCOc2ccccc2/C=C\CNC(=O)[C@H](Cc2ccc(Cl)c(Cl)c2)NC(=O)C2(CCCC2)NC1=O,ghsr,Q92847,Ki,=,10.0,CHEMBL3935670,0.1
56580,C[C@@H]1C(=O)N[C@H](Cc2ccccc2)C(=O)NCCCc2ccccc2OCCN[C@@H](C(C)(C)C)C(=O)N1C,ghsr,Q92847,Ki,=,10.0,CHEMBL3939872,0.1
56581,C[C@@H]1C(=O)N[C@H](Cc2c(F)c(F)c(F)c(F)c2F)C(=O)NCCCc2ccccc2OCCN[C@@H](C2CC2)C(=O)N1C,ghsr,Q92847,Ki,=,10.0,CHEMBL3940705,0.1
56582,O=C1NC/C=C\c2ccccc2OCCNC2(CCCC2)C(=O)NC2(CCCC2)C(=O)N[C@H]1Cc1cccc(Cl)c1,ghsr,Q92847,Ki,=,10.0,CHEMBL3955179,0.1
