Index,cano2_smiles,Receptor,Uniprot ID,Activity Type,Activity Relation,p-value (-log),ChEMBL ID,Activity Value
61920,CN[C@@H]1CCN(c2ccnc(NC3CC4CCC3C4)n2)C1,hrh4,Q9H3N8,Kd,=,10.1,CHEMBL3393547,0.1
61921,Nc1nc(C2CCCC2)cc(N2C[C@H]3CCN[C@H]3C2)n1,hrh4,Q9H3N8,Kd,=,10.0,CHEMBL3236561,0.1
61922,CN1CCN(c2cc(C3CCCC3)nc(N)n2)CC1,hrh4,Q9H3N8,Kd,=,9.9,CHEMBL3236552,0.1
61923,CN[C@@H]1CCN(c2cc(C3CCCC3)nc(N)n2)C1,hrh4,Q9H3N8,Kd,=,9.6,CHEMBL3236554,0.3
61924,Nc1nc(C2CCCC2)cc(N2CCNCC2)n1,hrh4,Q9H3N8,Kd,=,9.5,CHEMBL3236553,0.3
61925,CN[C@@H]1CCN(c2cc(C3CCC3)nc(N)n2)C1,hrh4,Q9H3N8,Kd,=,9.4,CHEMBL3236575,0.4
61926,CN[C@@H]1CCN(c2cc(NC3CCCC3)nc(N)n2)C1,hrh4,Q9H3N8,Kd,=,9.4,CHEMBL1770980,0.4
61927,CN[C@@H]1CCN(c2cc(NCC(C)C)nc(N)n2)C1,hrh4,Q9H3N8,Kd,=,9.3,CHEMBL1770979,0.5
61928,Nc1nc(C2CCCC2)cc(N2CC[C@@H](N)C2)n1,hrh4,Q9H3N8,Kd,=,9.2,CHEMBL3236556,0.6
61929,CN[C@@H]1CCN(c2ccnc(NCC(C)C)c2)C1,hrh4,Q9H3N8,Kd,=,9.2,CHEMBL3393526,0.6
61930,CN[C@@H]1CCN(c2ccnc(NC3CCCC3)c2)C1,hrh4,Q9H3N8,Kd,=,9.0,CHEMBL3393532,1.0
61931,CN[C@H]1CCN(c2ccnc(NC3CC4CCC3C4)c2)C1,hrh4,Q9H3N8,Kd,=,9.0,CHEMBL3393535,1.0
61932,CC(C)CNc1cc(N2CCN(C)CC2)nc(N)n1,hrh4,Q9H3N8,Kd,=,8.9,CHEMBL1771000,1.3
61933,CN[C@@H]1CCN(c2cc(N)nc(NC(C)C)c2)C1,hrh4,Q9H3N8,Kd,=,8.8,CHEMBL1770969,1.6
61934,CN[C@@H]1CCN(c2cc(N)nc(NCC(C)C)c2)C1,hrh4,Q9H3N8,Kd,=,8.8,CHEMBL1770971,1.6
61935,CN[C@@H]1CCN(c2cc(N)nc(NCC(C)C)n2)C1,hrh4,Q9H3N8,Kd,=,8.8,CHEMBL1770992,1.6
61936,CN1CCN(c2cc(N3CCCC3)nc(N)n2)CC1,hrh4,Q9H3N8,Kd,=,8.7,CHEMBL505061,2.0
61937,CN1CCN(c2nc(N)nc3c2oc2ccc(Cl)cc23)CC1,hrh4,Q9H3N8,Kd,=,8.7,CHEMBL1914541,2.0
61938,CN[C@H]1CN(c2cc(C3CCCC3)nc(N)n2)C[C@@H]1O,hrh4,Q9H3N8,Kd,=,8.0,CHEMBL3236565,10.0
61939,CCc1cc(N2CC[C@@H](NC)C2)nc(N)n1,hrh4,Q9H3N8,Kd,=,8.0,CHEMBL3236568,10.0
61940,CN[C@@H]1CCN(c2cc(Cc3ccccc3)nc(N)n2)C1,hrh4,Q9H3N8,Kd,=,8.0,CHEMBL3236572,10.0
61941,CN[C@@H]1CCN(c2cc(NC(C)C)nc(N)n2)C1,hrh4,Q9H3N8,Kd,=,8.0,CHEMBL1770977,10.0
61942,CN[C@@H]1CCN(c2cnnc(NC3CCCC3)c2)C1,hrh4,Q9H3N8,Kd,=,8.0,CHEMBL3393553,10.0
61943,CN[C@@H]1CCN(c2cnnc(NC3CC4CCC3C4)c2)C1,hrh4,Q9H3N8,Kd,=,8.0,CHEMBL3393556,10.0
61944,CNC1CCN(c2nc(N)nc3c2oc2ccc(Cl)cc23)C1,hrh4,Q9H3N8,Kd,=,8.0,CHEMBL1914750,10.0
61945,CN1CCN(C(=O)c2cc3cc(Cl)cc(Cl)c3[nH]2)CC1,hrh4,Q9H3N8,Kd,=,8.0,CHEMBL338937,10.0
61946,CN1CCN(C(=O)c2cc3cc(Cl)ccc3[nH]2)CC1,hrh4,Q9H3N8,Kd,=,8.0,CHEMBL129198,10.0
61947,CNC1CN(c2nc(N)nc3cc(C4CCCC4)cnc23)C1,hrh4,Q9H3N8,Kd,=,8.0,CHEMBL2376803,10.2
61948,CN1CCN(C2=Nc3ccc(Cl)cc3Oc3ccccc32)CC1,hrh4,Q9H3N8,Kd,=,8.0,CHEMBL213912,10.7
61949,Cc1cc(/C=C/C=C/c2ccc(N(C)C)cc2)cc(C)[n+]1CCCCc1c[nH]cn1,hrh4,Q9H3N8,Kd,=,8.0,CHEMBL4635634,10.7
61950,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,hrh4,Q9H3N8,Kd,=,7.9,CHEMBL42,11.9
61951,CC(C)c1cc(N2CC[C@@H](N)C2)nc(N)n1,hrh4,Q9H3N8,Kd,=,7.9,CHEMBL3236549,12.6
61952,CCc1cc(N2CC[C@@H](N)C2)nc(N)n1,hrh4,Q9H3N8,Kd,=,7.9,CHEMBL3236569,12.6
61953,CN[C@@H]1CCN(c2cc(C(C)C)nc(N)n2)C1,hrh4,Q9H3N8,Kd,=,7.9,CHEMBL3236570,12.6
61954,CN[C@@H]1CCN(c2cc(N)nc(NC3CCCC3)n2)C1,hrh4,Q9H3N8,Kd,=,7.9,CHEMBL1770959,12.6
61955,CN[C@@H]1CCN(c2cc(N)nc(NC(C)C)n2)C1,hrh4,Q9H3N8,Kd,=,7.9,CHEMBL1770990,12.6
61956,CN1CCN(C(=O)c2cc3cc(Cl)sc3[nH]2)CC1,hrh4,Q9H3N8,Kd,=,7.9,CHEMBL364400,12.6
61957,Cc1cc(OCCCN2CC3CCNC3C2)ccc1-c1nc2c(C)c(F)ccc2[nH]1,hrh4,Q9H3N8,Kd,=,7.9,CHEMBL1083098,12.6
61958,Nc1nc(C2CCCC2)cc(N2C[C@H]3NCCO[C@@H]3C2)n1,hrh4,Q9H3N8,Kd,=,6.9,CHEMBL3233048,125.9
61959,Cc1cc(Cl)c2nc(C(=O)N3CCN(C)CC3)[nH]c2c1,hrh4,Q9H3N8,Kd,=,6.9,CHEMBL120854,125.9
61960,CN1CCN(C(=O)c2cc3cccc(Br)c3[nH]2)CC1,hrh4,Q9H3N8,Kd,=,6.9,CHEMBL128252,125.9
61961,CN1CCN(C2=Nc3ccc(Cl)cc3Oc3ccccc32)CC1,hrh4,Q9H3N8,Kd,=,7.9,CHEMBL213912,13.0
61962,CNC1CN(c2nc(N)nc3cc(C4CC4)cnc23)C1,hrh4,Q9H3N8,Kd,=,7.9,CHEMBL2376804,13.5
61963,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,hrh4,Q9H3N8,Kd,=,7.8,CHEMBL42,14.5
61964,CN[C@@H]1CCN(c2cc(N)nc(N3CCCC3)c2)C1,hrh4,Q9H3N8,Kd,=,7.8,CHEMBL1770972,15.9
61965,CN[C@@H]1CCN(c2cnnc(NCC(C)C)c2)C1,hrh4,Q9H3N8,Kd,=,7.8,CHEMBL3393550,15.9
61966,Cc1c(F)ccc2[nH]c(C(=O)N3CCN(C)CC3)nc12,hrh4,Q9H3N8,Kd,=,7.8,CHEMBL120591,15.9
61967,CN1CCN(C(=O)c2cc3cc(Br)ccc3[nH]2)CC1,hrh4,Q9H3N8,Kd,=,7.8,CHEMBL128613,15.9
61968,CN1CCN(C(=O)c2cc3c(Br)cccc3[nH]2)CC1,hrh4,Q9H3N8,Kd,=,6.8,CHEMBL128505,158.5
61969,Cc1cc(OCCCN2CC3C(C2)N3C)ccc1-c1nc2c(C)c(F)ccc2[nH]1,hrh4,Q9H3N8,Kd,=,6.8,CHEMBL1086038,158.5
61970,Cc1cc(/C=C/C=C/c2ccc(N(C)C)cc2)cc(C)[n+]1CCCCc1c[nH]cn1,hrh4,Q9H3N8,Kd,=,7.8,CHEMBL4635634,16.5
61971,CN1C[C@H]2CN(c3cc(C4CCCC4)nc(N)n3)C[C@H]2C1,hrh4,Q9H3N8,Kd,=,7.7,CHEMBL3236562,20.0
61972,NC(=NCc1ccccc1)SCCCc1cnc[nH]1,hrh4,Q9H3N8,Kd,=,7.7,CHEMBL555434,20.0
61973,CN1CCN(c2cc(N)nc(N3CCCC3)c2)CC1,hrh4,Q9H3N8,Kd,=,7.7,CHEMBL1770965,20.0
61974,CN1CCN(C(=O)c2nc3ccc(Cl)cc3[nH]2)CC1,hrh4,Q9H3N8,Kd,=,7.7,CHEMBL185951,20.0
61975,Cc1ccc2[nH]c(C(=O)N3CCN(C)CC3)cc2c1,hrh4,Q9H3N8,Kd,=,7.7,CHEMBL128088,20.0
61976,CN1CCN(C(=O)c2cc3cc(F)cc(F)c3[nH]2)CC1,hrh4,Q9H3N8,Kd,=,7.7,CHEMBL129444,20.0
61977,Cc1c(Cl)sc2cc(C(=O)N3CCN(C)CC3)[nH]c12,hrh4,Q9H3N8,Kd,=,7.7,CHEMBL199062,20.0
61978,Cc1c(F)ccc2[nH]c(C(=O)N3CCN(C)CC3)cc12,hrh4,Q9H3N8,Kd,=,7.7,CHEMBL268525,20.0
61979,CN1CCN(C(=O)c2cc3cc(F)ccc3[nH]2)CC1,hrh4,Q9H3N8,Kd,=,7.7,CHEMBL436381,20.0
61980,Nc1nc(C2CCCC2)cc(N2CCC3(CCCN3)C2)n1,hrh4,Q9H3N8,Kd,=,8.6,CHEMBL3236564,2.5
61981,CN[C@@H]1CCN(c2cc(C(C)(C)C)nc(N)n2)C1,hrh4,Q9H3N8,Kd,=,8.6,CHEMBL3236577,2.5
61982,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,hrh4,Q9H3N8,Kd,=,7.7,CHEMBL42,20.9
61983,CCc1cnc2c(N3CC[C@@H](NC)C3)nc(N)nc2c1,hrh4,Q9H3N8,Kd,=,7.7,CHEMBL2376801,21.4
61984,CN1CCN(C2=Nc3ccc(Cl)cc3Oc3ccccc32)CC1,hrh4,Q9H3N8,Kd,=,7.7,CHEMBL213912,22.2
61985,Nc1nc(C2CCCC2)cc(N2CC(N)C2)n1,hrh4,Q9H3N8,Kd,=,7.6,CHEMBL3236558,25.1
61986,CN[C@@H]1CCN(c2nc(N)nc3c2CCCC3)C1,hrh4,Q9H3N8,Kd,=,7.6,CHEMBL3236582,25.1
61987,Cc1cccc2[nH]c(C(=O)N3CCN(C)CC3)nc12,hrh4,Q9H3N8,Kd,=,7.6,CHEMBL383384,25.1
61988,CN[C@@H]1CCN(c2cc(NCC3CC3)nc(N)n2)C1,hrh4,Q9H3N8,Kd,=,7.6,CHEMBL1915540,25.1
61989,Cc1cc(OCCCN2C[C@H]3CCCN[C@H]3C2)ccc1-c1nc2c(C)c(F)ccc2[nH]1,hrh4,Q9H3N8,Kd,=,7.6,CHEMBL1082296,25.1
61990,CN[C@@H]1CCN(c2ccnc(NC(C)C)c2)C1,hrh4,Q9H3N8,Kd,=,8.5,CHEMBL3354816,3.2
61991,CCCCc1cc(N2CC[C@@H](NC)C2)nc(N)n1,hrh4,Q9H3N8,Kd,=,8.4,CHEMBL3236571,4.0
61992,CN1CCN(C(=O)c2cc3cc(Cl)ccc3[nH]2)CC1,hrh4,Q9H3N8,Kd,=,8.4,CHEMBL129198,4.0
61993,Cc1cc(C)c2[nH]c(C(=O)N3CCN(C)CC3)cc2c1,hrh4,Q9H3N8,Kd,=,7.5,CHEMBL129026,31.6
61994,Cc1csc2cc(C(=O)N3CCN(C)CC3)[nH]c12,hrh4,Q9H3N8,Kd,=,7.5,CHEMBL199231,31.6
61995,CN(C)[C@@H]1CCN(c2ccnc(NCC(C)(C)C)n2)C1,hrh4,Q9H3N8,Kd,=,7.4,CHEMBL4439142,36.6
61996,Cc1cc(/C=C/C=C/c2ccc(N(C)C)cc2)cc(C)[n+]1CCCCc1c[nH]cn1,hrh4,Q9H3N8,Kd,=,7.4,CHEMBL4635634,38.8
61997,CN[C@H]1CCN(c2ccnc(NC3CCCC3)c2)C1,hrh4,Q9H3N8,Kd,=,7.4,CHEMBL3393533,39.8
61998,CN1CCN(C(=O)c2cc3ccccc3[nH]2)CC1,hrh4,Q9H3N8,Kd,=,7.4,CHEMBL129199,39.8
61999,Nc1nc(N2CCNCC2)c2ccc(-c3ccco3)cc2n1,hrh4,Q9H3N8,Kd,=,7.4,CHEMBL1935574,40.7
62000,NCCc1cnc[nH]1,hrh4,Q9H3N8,Kd,=,8.3,CHEMBL90,5.0
62001,CC(C)(C)c1cc(N2CC[C@@H](N)C2)nc(N)n1,hrh4,Q9H3N8,Kd,=,8.3,CHEMBL3236578,5.0
62002,CN[C@@H]1CCN(c2nc(N)nc3c2oc2ncc(Cl)cc23)C1,hrh4,Q9H3N8,Kd,=,8.3,CHEMBL1915048,5.0
