Index,cano2_smiles,Receptor,Uniprot ID,Activity Type,Activity Relation,p-value (-log),ChEMBL ID,Activity Value
58572,CC(C)N1CCC(Oc2ccc(CN3CCCCC3)cc2)CC1,hrh3,Q9Y5N1,Kd,=,9.9,CHEMBL194441,0.1
58573,c1cc(OCCCN2CCCCC2)ccc1CN1CCCCC1,hrh3,Q9Y5N1,Kd,=,9.8,CHEMBL129542,0.1
58574,CC(C)N1CCC(Oc2ccc(CN3CCCCCC3)cc2)CC1,hrh3,Q9Y5N1,Kd,=,9.8,CHEMBL427177,0.2
58575,CC(C)N1CCC(Oc2ccc(CN(C)CCN(C)C)cc2)CC1,hrh3,Q9Y5N1,Kd,=,9.7,CHEMBL193381,0.2
58576,CC(C)N1CCC(Oc2ccc(CN3CCC(CO)CC3)cc2)CC1,hrh3,Q9Y5N1,Kd,=,9.6,CHEMBL194541,0.3
58577,CC(C)N1CCC(Oc2ccc(CN3CCN(C)CC3)cc2)CC1,hrh3,Q9Y5N1,Kd,=,9.6,CHEMBL372471,0.3
58578,CC(C)N1CCC(Oc2ccc(CN3CCCN(C)CC3)cc2)CC1,hrh3,Q9Y5N1,Kd,=,9.5,CHEMBL195815,0.3
58579,CC(C)N1CCC(Oc2ccc(CN3CCC(O)CC3)cc2)CC1,hrh3,Q9Y5N1,Kd,=,9.5,CHEMBL193934,0.3
58580,CCCCN(C)Cc1ccc(OC2CCN(C(C)C)CC2)cc1,hrh3,Q9Y5N1,Kd,=,9.5,CHEMBL439676,0.3
58581,CC(C)N1CCC(Oc2ccc(CN3CCCC3)cc2)CC1,hrh3,Q9Y5N1,Kd,=,9.5,CHEMBL370169,0.4
58582,CC(C)N1CCC(Oc2ccc(CNC3CC3)cc2)CC1,hrh3,Q9Y5N1,Kd,=,9.3,CHEMBL195826,0.5
58583,CCN(CC)Cc1ccc(OC2CCN(C(C)C)CC2)cc1,hrh3,Q9Y5N1,Kd,=,9.3,CHEMBL191405,0.5
58584,CC(C)N1CCC(Oc2ccc(CN3CCOCC3)cc2)CC1,hrh3,Q9Y5N1,Kd,=,9.3,CHEMBL194092,0.5
58585,CC(C)N1CCC(Oc2ccc(CN3CCN(Cc4ccccc4)CC3)cc2)CC1,hrh3,Q9Y5N1,Kd,=,9.2,CHEMBL194090,0.7
58586,CC(C)N1CCC(Oc2ccc(CNc3ccccn3)cc2)CC1,hrh3,Q9Y5N1,Kd,=,9.1,CHEMBL372935,0.7
